,type,reference,price,district,street,area,plant,lift,parking,description
0,Flat,/en/inmueble/100740676/,"895,000€","['\n\n\n\n\n\n\nFlat in calle de Laforja', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n895', '000€\n\n\n3 bed.\n170 m²\n7th floor exterior with lift\n\n\n170 m2 apartment with three bedrooms and two bathrooms located on the sixth floor of a 1945 building with two elevators and concierge service. It is a unique opportunity for those buyers who want a property to put to their liking.\nCurrently']",calle de Laforja,170 m²,7th,with lift,,"170 m2 apartment with three bedrooms and two bathrooms located on the sixth floor of a 1945 building with two elevators and concierge service. It is a unique opportunity for those buyers who want a property to put to their liking.
Currently, the property consists of a large 30 m2 living room that"
1,Flat,/en/inmueble/100740666/,"690,000€","['\n\n\n\n\n\n\nFlat in avenida Diagonal', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n690', '000€\n\n\n5 bed.\n133 m²\n3rd floor exterior with lift\n\n\nThis 132 m² property to renovate is located on the third floor of a classic-style building dating back to 1955 with a newly renovated façade', ' communal areas and utility installations. The clean appearance of the elegant façade and the bright']",avenida Diagonal,133 m²,3rd,with lift,,"This 132 m² property to renovate is located on the third floor of a classic-style building dating back to 1955 with a newly renovated façade, communal areas and utility installations. The clean appearance of the elegant façade and the bright, chic lobby set the tone for the high-end homes found with"
2,Flat,/en/inmueble/100834831/,"795,000€","['\n\n\n\n\n\n\nFlat in calle dels Madrazo', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n795', '000€\nParking included\n\n\n3 bed.\n128 m²\n5th floor exterior with lift\n\n\nWe access the apartment through a entrance hall with wardrobes on your right. To your left', ' we have a spacious single room with a guest toilet. In addition', ' the corridor leads to a large', ' very spacious dining room living room with a terrace and abundant natural light. Next to it']",calle dels Madrazo,128 m²,5th,with lift,Parking included,"We access the apartment through a entrance hall with wardrobes on your right. To your left, we have a spacious single room with a guest toilet. In addition, the corridor leads to a large, very spacious dining room living room with a terrace and abundant natural light. Next to it, there is a study ar"
3,Flat,/en/inmueble/98677823/,"1,250,000€","['\n\n\n\n\n\n\nFlat in calle de Mallorca', "" L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n1', '250', '000€\n\n\n2 bed.\n146 m²\nMezzanine exterior with lift\n\n\nStunning luxury property in the heart of Eixample with a wonderful 60 sqm decked terrace – a private oasis in the city centre. This 2-bedroom apartment measures 120 sqm and includes beautiful designer furniture']",calle de Mallorca,146 m²,Mezzanine,lift,,"Stunning luxury property in the heart of Eixample with a wonderful 60 sqm decked terrace – a private oasis in the city centre. This 2-bedroom apartment measures 120 sqm and includes beautiful designer furniture, pieces of art and carefully curated interior design.
The layout of the apartment is ve"
4,Flat,/en/inmueble/101546754/,"795,000€","['\n\n\n\n\n\n\nFlat in via Laietana', ' Sant Pere - Santa Caterina i la Ribera', ' Barcelona\n\n\n795']",via Laietana,88 m²,1st,with lift,,"Residential complex of 15 luxury apartments where the classical architecture of its historic facade is combined with comfort and contemporary interior design.
We are looking at a completely rehabilitated four-floor building with a spectacular entrance that is located on one of the most significant"
5,Flat,/en/inmueble/101605155/,"146,000€","['\n\n\n\n\n\n\nFlat in calle de Ramón Rocafull', ' El Carmel', ' Barcelona\n\n\n146', '000€\n\n\n3 bed.\n65 m²\n2nd floor exterior without lift\n\n\nAICAT 7252-Ancora Real Estate\nWE ATTEND REQUESTS BY WHATSAPP.\nFor more information', ' contact our sales team']",calle de Ramón Rocafull,65 m²,2nd,without lift,,"AICAT 7252-Ancora Real Estate
WE ATTEND REQUESTS BY WHATSAPP.
For more information, contact our sales team, we will attend to all requests but we will give priority to those in which we are provided with a contact telephone number.
Visit our private area by accessing through our logo in this adver"
6,Detached,/en/inmueble/81345140/,"2,500,000€","[""\n\n\n\n\n\n\nDetached house in calle d'Angel Guimerà"", ' Les Tres Torres', ' Barcelona\n\n\n2', '500', '000€\nParking included\n\n\n2 bed.\n224 m²\n\n\nThis fabulous property is located in one of the most exclusive areas of the city', ' Tres Torres', ' close to services', ' shops', ' parks', ' top schools and restaurants. Being one of the 3 buildings giving the neighbourhood its name']",calle d'Angel Guimerà,224 m²,,,Parking included,"This fabulous property is located in one of the most exclusive areas of the city, Tres Torres, close to services, shops, parks, top schools and restaurants. Being one of the 3 buildings giving the neighbourhood its name, this is a truly emblematic property in the Zona Alta.
Distributed across 2 le"
7,Flat,/en/inmueble/100943302/,"652,500€","['\n\n\n\n\n\n\nFlat in calle de Pau Alsina', "" El Camp d'En Grassot i Gràcia Nova"", ' Barcelona\n\n\n652', '500€\n\n\n2 bed.\n80 m²\n1st floor exterior with lift\n\n\nLucas Fox presents Pau Alsina', ' an excellent development consisting of five homes in a completely renovated building', ' both inside and out', ' in the Gràcia neighbourhood', ' a highly sought-after area of Barcelona', ' next to Passeig de Sant Joan.\nThis home has a contemporary design with straight']",calle de Pau Als,80 m²,1st,with lift,,"Lucas Fox presents Pau Alsina, an excellent development consisting of five homes in a completely renovated building, both inside and out, in the Gràcia neighbourhood, a highly sought-after area of Barcelona, next to Passeig de Sant Joan.
This home has a contemporary design with straight, clean lin"
8,Flat,/en/inmueble/90657560/,"749,000€","['\n\n\n\n\n\n\nFlat in calle de Marlet', ' El Gòtic', ' Barcelona\n\n\n749', ""000€\n\n\n2 bed.\n116 m²\n1st floor exterior with lift\n\n\nThis property is located on the first floor of a completely renovated 19th century building in an unbeatable location in the historic centre of Barcelona. This exquisite property is located just 15 minutes' walk from Port Vell""]",calle de Marlet,116 m²,1st,with lift,,"This property is located on the first floor of a completely renovated 19th century building in an unbeatable location in the historic centre of Barcelona. This exquisite property is located just 15 minutes' walk from Port Vell, the newly renovated luxury marina and the beaches of La Barceloneta.
O"
9,Flat,/en/inmueble/101617112/,"275,000€","['\n\n\n\n\n\n\nFlat in finlandia', ' Sants', ' Barcelona\n\n\n275', '000€\n\n\n4 bed.\n80 m²\n3rd floor exterior without lift\n\n\nFinlandia (Sants) next to Plaça de Sants', ' apartment located in the Regia estate', ' high exterior and bright to reform', ' currently distributed in a dining room facing the interior patio of the block', ' kitchen', ' 5 bedrooms (3 large', ' 2 of them connected to each other and 2 individual interiors)']",f,80 m²,3rd,without lift,,"Finlandia (Sants) next to Plaça de Sants, apartment located in the Regia estate, high exterior and bright to reform, currently distributed in a dining room facing the interior patio of the block, kitchen, 5 bedrooms (3 large, 2 of them connected to each other and 2 individual interiors), 1 bathroom"
