,type,reference,price,neighbourhood,area,rooms,plant,lift,parking,district
0,Flat,/en/inmueble/98491349/,2950000,la Dreta de l'Eixample,275,7,1.0,lift,no,Eixample
1,Flat,/en/inmueble/99172111/,863000,la Dreta de l'Eixample,146,3,1.0,lift,no,Eixample
3,Flat,/en/inmueble/98261311/,1925000,la Dreta de l'Eixample,168,2,1.0,lift,no,Eixample
4,Flat,/en/inmueble/99079061/,1800000,la Dreta de l'Eixample,216,4,3.0,lift,no,Eixample
5,Flat,/en/inmueble/98255536/,2800000,la Dreta de l'Eixample,248,4,1.0,lift,no,Eixample
6,Flat,/en/inmueble/100517004/,1295000,la Dreta de l'Eixample,190,3,1.0,lift,no,Eixample
7,Flat,/en/inmueble/100287105/,1595000,la Dreta de l'Eixample,185,4,3.0,lift,no,Eixample
8,Flat,/en/inmueble/101368744/,795000,la Vila Olímpica del Poblenou,126,4,7.0,lift,yes,Sant Martí
9,Flat,/en/inmueble/101043384/,1295000,la Dreta de l'Eixample,145,3,2.0,lift,no,Eixample
10,Flat,/en/inmueble/98286608/,1550000,la Dreta de l'Eixample,228,5,2.0,lift,no,Eixample
11,Flat,/en/inmueble/99418110/,1390000,la Dreta de l'Eixample,182,5,4.0,lift,no,Eixample
12,Penthouse,/en/inmueble/90331765/,770000,el Barri Gòtic,101,2,4.0,lift,no,Ciutat Vella
13,Penthouse,/en/inmueble/100973290/,2500000,Diagonal Mar i el Front Marítim del Poblenou,145,2,21.0,lift,yes,Sant Martí
14,Flat,/en/inmueble/101166351/,360000,el Poble-sec,55,2,1.0,no lift,no,Sants-Montjuïc
15,Flat,/en/inmueble/100973274/,1550000,la Dreta de l'Eixample,198,3,1.0,lift,no,Eixample
16,Flat,/en/inmueble/100869262/,935000,el Barri Gòtic,264,2,1.0,no lift,no,Ciutat Vella
17,Flat,/en/inmueble/98888290/,816000,l'Antiga Esquerra de l'Eixample,149,2,3.0,lift,no,Eixample
18,Flat,/en/inmueble/97362092/,1730000,Diagonal Mar i el Front Marítim del Poblenou,169,4,5.0,lift,yes,Sant Martí
19,Flat,/en/inmueble/100243229/,1065000,"Sant Pere, Santa Caterina i la Ribera",131,3,2.0,lift,no,Ciutat Vella
20,Flat,/en/inmueble/98262669/,1105000,la Dreta de l'Eixample,71,1,3.0,lift,no,Eixample
21,Flat,/en/inmueble/98256266/,2680000,la Dreta de l'Eixample,157,2,5.0,lift,no,Eixample
22,Flat,/en/inmueble/100229641/,840000,el Barri Gòtic,176,4,4.0,lift,no,Ciutat Vella
23,Flat,/en/inmueble/98264311/,2750000,la Dreta de l'Eixample,219,4,2.0,lift,no,Eixample
24,Penthouse,/en/inmueble/99427743/,890000,la Dreta de l'Eixample,90,2,7.0,lift,no,Eixample
25,Flat,/en/inmueble/97593553/,1200000,l'Antiga Esquerra de l'Eixample,178,4,4.0,lift,no,Eixample
26,Flat,/en/inmueble/98840562/,1100000,"Sant Pere, Santa Caterina i la Ribera",125,2,1.0,no lift,no,Ciutat Vella
28,Flat,/en/inmueble/100621063/,1990000,Diagonal Mar i el Front Marítim del Poblenou,180,3,18.0,lift,no,Sant Martí
29,Flat,/en/inmueble/98574445/,1100000,la Dreta de l'Eixample,146,3,4.0,lift,yes,Eixample
57,Flat,/en/inmueble/99837951/,1450000,el Barri Gòtic,228,5,1.0,lift,no,Ciutat Vella
62,Penthouse,/en/inmueble/101352720/,850000,"Sant Pere, Santa Caterina i la Ribera",135,3,2.0,no lift,no,Ciutat Vella
