,type,reference,price,district,street,area,plant,lift,parking,description
0,Flat,/en/inmueble/97812760/,"599,000€","['\n\nFlat in Gran Via de les Corts Catalanes', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n599', '000€\n\n\n2 bed.\n96 m²\n1st floor exterior with lift\n\n\nMagnificent completely renovated apartment of 96 m2', ' in a royal corner building next to Pl. Tetuán', ' has a large sunny living room facing south-east', ' with a gallery and views of Pl. Tetuán', ' semi-open kitchen with serving hatch', ' 2 double bedrooms (1 with en-suite bathroom)', ' toilet']",Gran Via de les Corts Catalanes,96 m²,1st,with lift,,"Magnificent completely renovated apartment of 96 m2, in a royal corner building next to Pl. Tetuán, has a large sunny living room facing south-east, with a gallery and views of Pl. Tetuán, semi-open kitchen with serving hatch, 2 double bedrooms (1 with en-suite bathroom), toilet, large balcony facin"
1,Flat,/en/inmueble/99096863/,"450,000€","['\n\n\n\n\n\n\nFlat in Passatge Madoz', ' 1', ' El Gòtic', ' Barcelona\n\n\n450', '000€\n\n\n5 bed.\n152 m²\n2nd floor exterior with lift\n\n\nApartment for sale in the Gothic Quarter in the passage that connects Calle Ferrán with Plaza Real.\nBuilding with elevator']",Passatge Madoz,152 m²,2nd,with lift,,"Apartment for sale in the Gothic Quarter in the passage that connects Calle Ferrán with Plaza Real.
Building with elevator, exterior with balconies facing Ferrán y Madoz street.
Room with balcony to the Madoz passage.
Dining room with balcony to Ferrán street.
It has 5 rooms:
4 with balcony to Ferrá"
2,Flat,/en/inmueble/97500398/,"795,000€","['\n\n\n\n\n\n\nFlat in via Laietana', ' Sant Pere - Santa Caterina i la Ribera', ' Barcelona\n\n\n795', '000€\n\n\n950']",via Laietana,88 m²,1st,with lift,,"This upscale apartment with high quality finishings is located in a completely refurbished regal estate building in El Born. The building has a historic façade and a completely renovated interior with an imposing entrance hall.
This flat has 88 built sqm and is located on the 1st floor. The hall gi"
3,Flat,/en/inmueble/101615213/,"750,000€","[""\n\nFlat in avenida d'Icària"", ' La Vila Olímpica del Poblenou', ' Barcelona\n\n\n750', '000€\nParking included\n\n\n4 bed.\n165 m²\n2nd floor with lift\n\n\nMagnificent totally exterior apartment located on Av Icaria', ' one street from the Mapfre towers']",avenida d'Icària,165 m²,2nd,lift,Parking included,"Magnificent totally exterior apartment located on Av Icaria, one street from the Mapfre towers, Hotel Arts and Puerto Olimpico. It has a community garden and a parking space included in the price. As we enter the apartment we find the hall that leads to a large living room with access to the terrace"
4,Flat,/en/inmueble/99970317/,"850,000€","['\n\nFlat in calle de Jordà', ' Sarrià', ' Barcelona\n\n\n850', '000€\nParking included\n\n\n3 bed.\n123 m²\n2nd floor exterior with lift\n\n\nApartment located in a magnificent area next to Calle Mayor de Sarriá. It has a built area of 123 m2 and has 3 double bedrooms and 2 bathrooms. In addition', ' you have the exclusive use of a 25 m2 solarium terrace and a 20m2 garage space with space for 2 vehicles.\nThe farm']",calle de Jordà,123 m²,2nd,with lift,Parking included,"Apartment located in a magnificent area next to Calle Mayor de Sarriá. It has a built area of 123 m2 and has 3 double bedrooms and 2 bathrooms. In addition, you have the exclusive use of a 25 m2 solarium terrace and a 20m2 garage space with space for 2 vehicles.
The farm, built in 1994 and exposed"
5,Flat,/en/inmueble/101563558/,"440,000€","['\n\n\n\n\n\n\nFlat in ronda de Sant Pau', ' Sant Antoni', ' Barcelona\n\n\n440', '000€\n\n\n3 bed.\n90 m²\n4th floor exterior with lift\n\n\nHigh flat with balconies in Mercat Sant Antoni\nEngel & Völkers has the pleasure of introduce with exclusivity this fantastic modernist-style apartment in a nice building', ' sixth in real height', ' with 85 m2', ' double orientation', ' with two balconies', ' one to the East and the other to the West']",ronda de Sant Pau,90 m²,4th,with lift,,"High flat with balconies in Mercat Sant Antoni
Engel & Völkers has the pleasure of introduce with exclusivity this fantastic modernist-style apartment in a nice building, sixth in real height, with 85 m2, double orientation, with two balconies, one to the East and the other to the West, currently co"
6,Flat,/en/inmueble/98356477/,"320,000€","['\n\n\n\n\n\n\nFlat in calle de Mallorca', ' La Sagrada Família', ' Barcelona\n\n\n320', '000€\nGarage optional 40', '000 €\n\n\n329', '000 €\n\n3%\n\n\n\n4 bed.\n82 m²\n5th floor exterior with lift\n\n\nBright apartment near the Sagrada Familia\nIn the Eixample district', ' a few meters from the Sagrada Familia', ' you will find this functional', ' quiet and bright four-bedroom apartment. Its location is just perfect', ' surrounded by essential shops', ' multiple leisure options']",calle de Mallorca,82 m²,5th,with lift,"Garage optional 40,000 €","Bright apartment near the Sagrada Familia
In the Eixample district, a few meters from the Sagrada Familia, you will find this functional, quiet and bright four-bedroom apartment. Its location is just perfect, surrounded by essential shops, multiple leisure options, restaurants and several public tra"
7,Penthouse,/en/inmueble/100071464/,"1,065,000€","['\n\n\n\n\n\n\nPenthouse in La Sagrada Família', ' Barcelona\n\n\n1', '065', '000€\n\n\n4 bed.\n237 m²\n8th floor exterior with lift\n\n\nROSSELLO - ESTRELLA DAMM magnificent corner penthouse of 190 m2 located in the Eixample a few minutes from the Temple of the Sagrada Familia and with extraordinary views of the entire city of Barcelona. Its excellent location', ' in front of the multipurpose space - Estrella Damm Museum']",La Sagrada Família,237 m²,8th,with lift,,"ROSSELLO - ESTRELLA DAMM magnificent corner penthouse of 190 m2 located in the Eixample a few minutes from the Temple of the Sagrada Familia and with extraordinary views of the entire city of Barcelona. Its excellent location, in front of the multipurpose space - Estrella Damm Museum, and its height"
8,Flat,/en/inmueble/101618144/,"830,000€","['\n\nFlat in ronda del General Mitre', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n830', '000€\nParking included\n\n\n4 bed.\n155 m²\n3rd floor exterior with lift\n\n\nMagnificent home to reform located at the crossroads between General Miter and Calle Mandri', ' in the heart of the San Gervasio neighborhood.\nAs we enter the house', ' we find a hall that separates the day area from the night area']",ronda del General Mitre,155 m²,3rd,with lift,Parking included,"Magnificent home to reform located at the crossroads between General Miter and Calle Mandri, in the heart of the San Gervasio neighborhood.
As we enter the house, we find a hall that separates the day area from the night area, from which we access the living room and the kitchen. The living room is"
9,Flat,/en/inmueble/100012140/,"660,000€","['\n\nFlat in Diputacion', "" L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n660', '000€\n\n\n3 bed.\n141 m²\nMezzanine exterior with lift\n\n\nFantastic APARTMENT on the first floor in the Eixample neighborhood with TERRACE', ' located on Diputación street with Aribau in Barcelona.\nIt is an apartment that overlooks Diputación street and a very quiet interior patio of the block']",Diputacion,141 m²,Mezzanine,lift,,"Fantastic APARTMENT on the first floor in the Eixample neighborhood with TERRACE, located on Diputación street with Aribau in Barcelona.
It is an apartment that overlooks Diputación street and a very quiet interior patio of the block, with an area of 141.46 m2 distributed in a spacious LIVING-DININ"
