,type,reference,price,district,street,area,rooms,plant,lift,parking,description
0,Penthouse,/en/inmueble/99586748/,"1,450,000€","['\n\n\n\n\n\n\nPenthouse in Sant Pere - Santa Caterina i la Ribera', ' Barcelona\n\n\n1', '450', '000€\n\n\n2 bed.\n195 m²\n4th floor exterior with lift\n\n\nOne of the kind industrial penthouse with terrace\nUnique penthouse in the luxury segment of the authentic industrial style. 3.80m ceilings', ' totally exterior', ' in a PRIME location', ' without car noise']",Sant Pere - Santa Cater,195 m²,2 bed.,4th,with lift,,"One of the kind industrial penthouse with terrace
Unique penthouse in the luxury segment of the authentic industrial style. 3.80m ceilings, totally exterior, in a PRIME location, without car noise, and with great unobstructed southbound views. It consists of the ground floor + upper floor (accessibl"
1,Detached,/en/inmueble/98213494/,"2,795,000€","['\n\n\n\n\n\n\nDetached house in Sant Gervasi - La Bonanova', ' Barcelona\n\n\n2', '795']",Sant Gervasi - La Bonanova,934 m²,6 bed.,,,,"Wonderful catalogued house
Located in Sant Gervasi district there is this beautiful house ideal for residencial or workplace with wonderful views of the city and Tibidabo Mountain. The house is completely refurbished and it´s distributed in four floors with large spaces for work and meetings. It has"
2,Flat,/en/inmueble/98504346/,"660,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n660', '000€\n\n\n3 bed.\n122 m²\n3rd floor exterior with lift\n\n\nBright flat on the right of the Eixample\nIt is an historical building from 1940', "" which is located in the emblematic Quadrat d'Or de la Dreta de l'Eixample""]",La Dreta de l'Eixample,122 m²,3 bed.,3rd,with lift,,"Bright flat on the right of the Eixample
It is an historical building from 1940, which is located in the emblematic Quadrat d'Or de la Dreta de l'Eixample, just one block from Passeig de Gràcia.
This cozy apartment is located on a high floor with three large rooms that open onto the main façade with"
3,Flat,/en/inmueble/101044355/,"335,000€","['\n\n\n\n\n\n\nFlat in El Raval', ' Barcelona\n\n\n335', '000€\n\n\n4 bed.\n149 m²\n exterior without lift\n\n\nRenovated first floor for sale in Raval Nord\nSplendid first floor apartment conditioned as an office and refurbished with high quality finishes in the heart of the historic center of Barcelona. Located in a pedestrian street of Raval Alto', ' very close to Plaça Universitat']",El Raval,149 m²,4 bed.,,,,"Renovated first floor for sale in Raval Nord
Splendid first floor apartment conditioned as an office and refurbished with high quality finishes in the heart of the historic center of Barcelona. Located in a pedestrian street of Raval Alto, very close to Plaça Universitat, next to Joaquín Costa stree"
4,Flat,/en/inmueble/97412987/,"365,000€","['\n\n\n\n\n\n\nFlat in Sant Pere - Santa Caterina i la Ribera', ' Barcelona\n\n\n365', '000€\n\n\n2 bed.\n60 m²\n3rd floor exterior without lift\n\n\nRenewed', ' two-double bedroom flat in Born\nThis two-bedroom flat offered as shown on the photos', ' new and after complete refurbishment', ' furniture and appliences included.\nIt is located on a small street within Sant Pere-Santa Caterina neighbourhood', ' but is not overlooking the street']",Sant Pere - Santa Cater,60 m²,2 bed.,3rd,without lift,,"Renewed, two-double bedroom flat in Born
This two-bedroom flat offered as shown on the photos, new and after complete refurbishment, furniture and appliences included.
It is located on a small street within Sant Pere-Santa Caterina neighbourhood, but is not overlooking the street, but a spacious int"
5,Flat,/en/inmueble/94285069/,"736,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n736', '000€\n\n\n3 bed.\n144 m²\n exterior with lift\n\n\nApartment to reform in Eixample\nWe are pleased to present this outstanding opportunity to create your dream residence on a prestigious avenue in the heart of Barcelona.\nThis historical regal building of 1900 is undergoing a full renovation of common areas', ' mechanical equipment']",La Dreta de l'Eixample,144 m²,3 bed.,,,,"Apartment to reform in Eixample
We are pleased to present this outstanding opportunity to create your dream residence on a prestigious avenue in the heart of Barcelona.
This historical regal building of 1900 is undergoing a full renovation of common areas, mechanical equipment, as well as a restora"
6,Flat,/en/inmueble/99931258/,"790,000€","['\n\n\n\n\n\n\nFlat in La Teixonera', ' Barcelona\n\n\n790', '000€\nParking included\n\n\n3 bed.\n208 m²\n exterior with lift\n\n\nHouse with pool and parking in Vallcarca-Penitents\nWe are pleased to present this beautiful apartment with characteristics similar to a comfortable house', ' it is located at street level', ' a security door allows us to enter', ' to the left is the night area', ' made up of three bedrooms', ' two doubles']",La Teixonera,208 m²,3 bed.,,,Parking included,"House with pool and parking in Vallcarca-Penitents
We are pleased to present this beautiful apartment with characteristics similar to a comfortable house, it is located at street level, a security door allows us to enter, to the left is the night area, made up of three bedrooms, two doubles, the fir"
7,Flat,/en/inmueble/94943360/,"670,000€","['\n\n\n\n\n\n\nFlat in El Gòtic', ' Barcelona\n\n\n670', '000€\n\n\n2 bed.\n82 m²\n4th floor exterior with lift\n\n\nPenthouse in the Gotico\nAmazing penthouse in a modernist building from 1900 with lift', ' completly rehabilitated in 2011. Unique in Barcelona', ' in which we can consider the best building in Gotico.\nDistributed in a big living room with exit to a balcony', ' open kitchen. Two double bedrooms', ' all exterior']",El Gòtic,82 m²,2 bed.,4th,with lift,,"Penthouse in the Gotico
Amazing penthouse in a modernist building from 1900 with lift, completly rehabilitated in 2011. Unique in Barcelona, in which we can consider the best building in Gotico.
Distributed in a big living room with exit to a balcony, open kitchen. Two double bedrooms, all exterior,"
8,Flat,/en/inmueble/98991184/,"725,000€","[""\n\n\n\n\n\n\nFlat in L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n725', '000€\n\n\n4 bed.\n134 m²\n3rd floor exterior with lift\n\n\nExcellent flat near Francesc Macià\nSpacious and updated flat of approximately 134sq m of total built surface and with most of the rooms exterior', ' in an unbeatable location of the city', ' close to Francesc Macià']",L'Antiga Esquerra de l'Eixample,134 m²,4 bed.,3rd,with lift,,"Excellent flat near Francesc Macià
Spacious and updated flat of approximately 134sq m of total built surface and with most of the rooms exterior, in an unbeatable location of the city, close to Francesc Macià, Turó Park and Av. Josep Tarradellas. This flat is ideal for optimal comfort due to the pos"
9,Flat,/en/inmueble/97107255/,"780,000€","['\n\n\n\n\n\n\nFlat in Sant Gervasi - La Bonanova', ' Barcelona\n\n\n780', '000€\n\n\n3 bed.\n153 m²\n1st floor exterior with lift\n\n\nNew apartment in Sant Gervasi Bonanova\nIn the neighborhood of Sant Gervasi La Bonanova', ' we find this elegant apartment completely renovated']",Sant Gervasi - La Bonanova,153 m²,3 bed.,1st,with lift,,"New apartment in Sant Gervasi Bonanova
In the neighborhood of Sant Gervasi La Bonanova, we find this elegant apartment completely renovated, brand new with very good qualities and good orientation.
The day area consists of a spacious living room with access to a pleasant south-facing terrace and a r"
